HZ,fft
78.96051974,(-1.1795871257781982-0.7544446587562561j)
79.29368649,(-0.9876288175582886-1.806771993637085j)
79.62685324,(-1.7044191360473633-1.706333875656128j)
79.96001999,(-1.2214345932006836-1.702688455581665j)
80.29318674,(-1.5878881216049194-2.601113796234131j)
80.62635349,(-0.9545124769210815-2.9873125553131104j)
80.95952024,(-0.13895365595817566-2.1291990280151367j)
81.29268699,(-5.502257347106934-8.616720199584961j)
81.62585374,(3.6110682487487793-7.884599685668945j)
81.95902049,(1.8914844989776611+5.823723793029785j)
82.29218724,(-0.17547214031219482+1.331683874130249j)
82.62535399,(-0.451205313205719+1.6140820980072021j)
82.95852074,(0.37203389406204224+0.2199561893939972j)
83.29168749,(-1.0738533735275269+0.639487087726593j)
83.62485424,(0.06881031394004822-0.3589627146720886j)
83.95802099,(-0.0799100324511528+0.7618790864944458j)
84.29118774,(-0.3492470681667328+0.8981817364692688j)
84.62435449,(-0.8038443326950073-0.8869329690933228j)
84.95752124,(-0.9485602378845215-1.7740223407745361j)
85.29068799,(-0.65306156873703+0.6850483417510986j)
85.62385474,(-0.6311107873916626+2.771976947784424j)
85.95702149,(-0.8025158047676086-1.9956415891647339j)
86.29018824,(0.3578064739704132-0.4112061560153961j)
86.62335499,(0.42962896823883057-0.5281184315681458j)
86.95652174,(-0.4192345142364502+0.04608791321516037j)
87.28968849,(0.7261930704116821+0.25112470984458923j)
87.62285524,(0.5569377541542053+1.819654941558838j)
87.95602199,(-0.24536186456680298+2.0372939109802246j)
88.28918874,(-0.7326347827911377-0.6838680505752563j)
88.62235549,(3.4402036666870117+9.23246955871582j)
88.95552224,(-10.53695011138916+11.594308853149414j)
89.28868899,(-1.5304498672485352-3.039421558380127j)
89.62185574,(-0.8525513410568237+0.6952910423278809j)
89.95502249,(-0.055008843541145325-1.807297945022583j)
90.28818924,(-2.1471242904663086-0.03722201660275459j)
90.62135599,(0.7998354434967041-0.779837965965271j)
90.95452274,(-0.17900994420051575+0.23842468857765198j)
91.28768949,(0.7507765889167786+0.02105366438627243j)
91.62085624,(-0.3449351191520691-1.7753809690475464j)
91.95402299,(2.338452100753784-0.1948285698890686j)
92.28718974,(-1.1149805784225464+3.106029748916626j)
92.62035649,(-0.14534226059913635+2.732154130935669j)
92.95352324,(-0.3747516870498657-5.45587158203125j)
93.28668999,(-0.5992974638938904+2.2579233646392822j)
93.61985674,(-2.22877836227417-0.251377671957016j)
93.95302349,(-1.4300205707550049-0.21485324203968048j)
94.28619024,(-0.83344566822052+0.9262676239013672j)
94.61935699,(-2.0786349773406982+0.3724222183227539j)
94.95252374,(-0.9163162708282471+0.6205285787582397j)
95.28569049,(-2.5802340507507324-2.1410598754882812j)
95.61885724,(-1.7758336067199707+4.336091041564941j)
95.95202399,(-6.503663063049316-10.223846435546875j)
96.28519074,(17.225759506225586-8.77453899383545j)
96.61835749,(1.8416930437088013+0.7860352396965027j)
96.95152424,(4.090042591094971-3.9007108211517334j)
97.28469099,(-1.0294708013534546-1.3656316995620728j)
97.61785774,(3.0699214935302734+1.2249343395233154j)
97.95102449,(-0.0549129955470562-0.3962467312812805j)
98.28419124,(2.6116676330566406-0.6695306301116943j)
98.61735799,(0.09285229444503784-1.155627727508545j)
98.95052474,(1.7924096584320068+1.6299387216567993j)
99.28369149,(-0.03360682725906372-0.08354192227125168j)
99.61685824,(2.122659206390381-1.0262343883514404j)
99.95002499,(0.23248827457427979-1.3427894115447998j)
100.2831917,(-0.18770718574523926+3.1334123611450195j)
100.6163585,(4.103292942047119+2.6541407108306885j)
100.9495252,(-2.3682031631469727-4.354320526123047j)
101.282692,(1.2022273540496826-2.1135876178741455j)
101.6158587,(-1.2160468101501465-4.015455722808838j)
101.9490255,(3.4591827392578125-2.3372907638549805j)
102.2821922,(2.3266077041625977-4.8972392082214355j)
102.615359,(3.5997166633605957+2.61299729347229j)
102.9485257,(7.2697272300720215-9.730005264282227j)
103.2816925,(14.956668853759766+11.327945709228516j)
103.6148592,(-17.873291015625+4.936489582061768j)
103.948026,(-1.7459102869033813-1.8231743574142456j)
104.2811927,(-2.4147753715515137+4.393469333648682j)
104.6143595,(-0.6037493348121643-0.015876978635787964j)
104.9475262,(-6.260832786560059-0.41064146161079407j)
105.280693,(-0.8122783899307251-0.6557033658027649j)
105.6138597,(-5.097519874572754-1.1691373586654663j)
105.9470265,(-1.0229376554489136+0.9880122542381287j)
106.2801932,(-2.1893515586853027-2.525043487548828j)
106.61336,(0.31732428073883057-1.4216868877410889j)
106.9465267,(-1.881197214126587-3.8335392475128174j)
107.2796935,(-1.7899625301361084-0.7305995225906372j)
107.6128602,(2.3444130420684814-4.109587669372559j)
107.946027,(-0.5448440313339233-0.15812167525291443j)
108.2791937,(2.0412349700927734-3.1889283657073975j)
108.6123605,(-1.2566113471984863-1.1736905574798584j)
108.9455272,(-1.7046312093734741-1.3711656332015991j)
109.278694,(-2.308746337890625-0.2907590866088867j)
109.6118607,(-1.8575321435928345+6.720956802368164j)
109.9450275,(-0.7007032632827759-6.094820976257324j)
110.2781942,(-9.866204261779785+3.6554107666015625j)
110.611361,(-21.284921646118164-19.915075302124023j)
110.9445277,(13.968215942382812-0.970298171043396j)
111.2776945,(-2.246953010559082-2.9752542972564697j)
111.6108612,(2.9461405277252197+3.264507532119751j)
111.944028,(-1.0262932777404785-3.625210762023926j)
112.2771947,(1.5979077816009521+2.2562484741210938j)
112.6103615,(-1.7199370861053467-5.412538528442383j)
112.9435282,(-0.5651097297668457-2.8437347412109375j)
113.276695,(1.4429845809936523-4.001382827758789j)
113.6098617,(-0.6781116127967834-0.6405042409896851j)
113.9430285,(0.47959768772125244-5.001229286193848j)
114.2761952,(-0.7900618314743042-1.9786959886550903j)
114.609362,(3.06805682182312-3.1572322845458984j)
114.9425287,(0.24545270204544067-1.225986123085022j)
115.2756955,(0.6712989807128906-2.120664119720459j)
115.6088622,(-1.4386872053146362-1.7295414209365845j)
115.942029,(1.0323377847671509-0.8811433911323547j)
116.2751957,(-1.1894594430923462-3.1208887100219727j)
116.6083625,(0.9428266286849976-1.0674067735671997j)
116.9415292,(2.0064537525177-4.066088676452637j)
117.274696,(-2.4487102031707764+2.6256844997406006j)
117.6078627,(8.476045608520508-8.196952819824219j)
117.9410295,(11.199453353881836+24.312116622924805j)
118.2741962,(-9.518282890319824-1.5213615894317627j)
118.607363,(3.563891887664795-2.9261317253112793j)
118.9405297,(-2.119473934173584-4.493529319763184j)
119.2736965,(2.152653217315674+0.5598112344741821j)
119.6068632,(-2.6651432514190674-4.1914167404174805j)
119.94003,(0.5958982110023499+0.03782559186220169j)
